platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
TikTok,Ca,North America,en,Food,#GRWM,Makeup basics you need,NextVision,original,Kitchen groove,5,35,1198603,84470,12959,11764,10046,0.099482,declining,Public Reports,emoji overlays,iOS,10,Beauty,18,Medium,66589.06,3997,0.010812,0.009815,0.008381,21.128064,Saturday,Morning,SummerBreak,"makeup, skincare, tips, grwm",Canâ€™t stop watching ðŸ˜‚,96474.3,Mid,Summer,2/1/2025,2025-02,Makeup Basics You Need ðŸ”,24,1,19.3,0.551,Oppo,ForYou,1,e7fc04f942035e05f031143e4d7e1261,119239,0.070474,0.003335,99.482,0.07047371,0.010811753,0.009814759
YouTube,Kr,Asia,ko,Education,#FYP,Weekly Reset â€” 2025,AliPro,licensed,Chalkboard beat,5,87,503968,11851,1478,1119,2345,0.033322,declining,Public Reports,jumpcut edits,Web,17,Dance,3,Short,167989.33,511,0.002933,0.00222,0.004653,23.146484,Saturday,Evening,SummerBreak,"trend, challenge, music, dance",Canâ€™t stop watching ðŸ˜‚,110084.9,Mid,Summer,2/1/2025,2025-02,New Dance Challenge!,20,0,59.3,0.682,Desktop,Home,1,796fc469df0a5e155f22975191bf3603,16793,0.023515,0.001014,33.322,0.023515382,0.002932726,0.002220379
TikTok,Id,Asia,id,Automotive,#FYP,Street Food Tour in New York,TrueHub,trending,Highway synth,5,32,848027,68114,10683,6872,4509,0.106339,seasonal,Public Reports,greenscreen,iOS,14,Travel,4,Short,212006.75,2459,0.012597,0.008104,0.005317,27.688618,Sunday,Afternoon,Regular,"hidden gems, food tour, vlog",This is fire ðŸ”¥,87560.6,Mid,Winter,2/2/2025,2025-02,24 Hours in Dubai ðŸ§ ,19,1,16.2,0.506,Samsung,Search,1,5d3f2099920c47975e447c407590d33c,90178,0.080321,0.0029,106.339,0.080320556,0.012597476,0.008103516
TikTok,Id,Asia,id,Travel,#DanceChallenge,Night Routine â€” Summer,NextVision,trending,Waves & bells,5,27,645327,58637,4746,6486,3677,0.113967,declining,TikTok Creative Center,emoji overlays,iOS,20,Dance,16,Medium,40332.94,1680,0.007354,0.010051,0.005698,34.882213,Friday,Evening,BackToSchool,"trend, music, challenge, dance",Canâ€™t stop watching ðŸ˜‚,96474.3,Mid,Fall,1/31/2025,2025-01,Try this move ðŸ‘‰,15,0,22.4,0.83,Pixel,ForYou,1,1be38927c24f08cb31cde80382f871f7,73546,0.090864,0.002603,113.967,0.090864012,0.007354411,0.010050718
YouTube,Mx,North America,es,Science,#Cover,Underrated artists you need to hear,BeautyByMaya,licensed,Microscope hum,5,37,677422,16774,2800,1892,2014,0.034661,seasonal,TikTok Creative Center,subtitles,Android,16,Music,7,Short,96774.57,423,0.004133,0.002793,0.002973,39.561321,Friday,Afternoon,SummerBreak,"song, music, cover",Gracias por compartir,125557.8,Mid,Summer,1/31/2025,2025-01,Stay â€” Cover,12,0,22,0.595,Samsung,Suggested,1,d6a292070a89e0ded75e076d5a1a9984,23480,0.024762,0.000624,34.661,0.024761522,0.004133317,0.002792941
YouTube,Fr,Europe,fr,Pets,#FYP,Weekly Reset â€” Summer,ProLiam,original,Bark hop,5,41,618023,13594,1406,1674,2448,0.030941,stable,TikTok Creative Center,jumpcut edits,Android,19,Lifestyle,3,Short,206007.67,1885,0.002275,0.002709,0.003961,7.207847,Sunday,Evening,SummerBreak,"daily, motivation, routine",Merci pour le partage !,128715.5,Mid,Summer,2/2/2025,2025-02,Morning Routine â€” Budget,24,0,23.6,0.576,iPhone,Suggested,1,954c0ebbdf2d808154859d94df4e41ad,19122,0.021996,0.00305,30.941,0.021995945,0.002274996,0.002708637
TikTok,Ph,Asia,tl,Tech,#Pets,Night Routine â€” Beginners,CookingWithOlivia,licensed,Futurist pad,6,36,517359,39626,4056,3835,6627,0.104655,declining,TikTok Creative Center,text-to-speech,Android,23,Pets,19,Medium,27229.42,1550,0.00784,0.007413,0.012809,25.548678,Monday,Night,BackToSchool,"dogs, cats, pets",Instant like!,103450.2,Mid,Fall,2/3/2025,2025-02,Cutest moments today âš½,22,1,28.2,0.783,Xiaomi,ForYou,0,44fa5fc0701f52d64376f4669bb3cf8d,54144,0.076593,0.002996,104.655,0.076592849,0.007839817,0.007412648
TikTok,Ph,Asia,tl,Food,#Cover,Blinding Lights â€” Cover,SaraChannel,licensed,Street vibe,6,22,524168,59439,7064,4943,3760,0.143477,rising,Public Reports,tutorial overlay,iOS,15,Music,3,Short,174722.67,2848,0.013477,0.00943,0.007173,20.86311,Friday,Afternoon,Regular,"music, song, cover",This is fire ðŸ”¥,112406,Mid,Spring,2/7/2025,2025-02,Stay â€” Cover ðŸ§ ,14,1,15,0.682,Samsung,External,1,8e0cecf278b61438faebf00272f6250c,75206,0.113397,0.005433,143.477,0.1133968498649288,0.013476595,0.009430183
YouTube,Ca,North America,en,Fashion,#Relatable,POV: College,Yuki,licensed,Aesthetic synth,6,23,1224403,34485,3901,3041,2180,0.035615,seasonal,Public Reports,tutorial overlay,iOS,9,Comedy,3,Short,408134.33,2840,0.003186,0.002484,0.00178,12.138332,Friday,Morning,HolidaySeason,"funny, relatable, comedy, sketch",This is fire ðŸ”¥,117301.2,Mid,Winter,2/7/2025,2025-02,If College was honest,21,0,11.8,0.513,Samsung,Home,1,837ac5c95a320f543d2c6d01ad1e89e7,43607,0.028165,0.002319,35.615,0.028164746,0.003186043,0.002483659
YouTube,Ca,North America,en,Sports,#Dance,Night Routine â€” Beginners,InsideHub,original,Stadium chant,6,41,602493,25188,2603,1787,3660,0.055167,rising,Public Reports,tutorial overlay,Android,22,Dance,14,Medium,43035.21,1670,0.00432,0.002966,0.006075,15.073609,Thursday,Evening,Regular,"dance, challenge, music, trend",Thanks for this!,97125.1,Mid,Fall,2/6/2025,2025-02,Try this move ðŸ‘‰ âœ¨,17,1,17.3,0.422,iPhone,External,0,df174751368006083b76bc7aa932565b,33238,0.041806,0.002772,55.167,0.041806295,0.004320382,0.00296601
TikTok,Jp,Asia,ja,Sports,#Cover,Perfect â€” Cover,Omar,licensed,Stadium chant,6,32,628903,32986,4064,3543,2136,0.067942,declining,TikTok Creative Center,meme template,Android,10,Music,6,Short,104817.17,1538,0.006462,0.005634,0.003396,21.433398,Monday,Morning,Regular,"music, beat, cover, song",æœ€é«˜ã§ã™ï¼,109654.6,Mid,Winter,2/3/2025,2025-02,Blinding Lights â€” Cover,23,0,16.8,0.525,Pixel,Following,0,fb87da4bda8a63eb88cc531b1cf4c9b4,42729,0.05245,0.002446,67.942,0.05245006,0.006462046,0.005633619
TikTok,Cn,Asia,zh,Gaming,#Recipe,I tried making Tacos,YoussefOfficial,licensed,Boss fight theme,6,12,538524,54013,7847,6562,3601,0.133741,declining,Public Reports,subtitles,Android,20,Food,6,Short,89754,721,0.014571,0.012185,0.006687,74.810249,Tuesday,Evening,Regular,"street food, fast, food",Thanks for this!,102347.6,Mid,Fall,2/4/2025,2025-02,5-Minute Croissant,18,0,8.4,0.7,iPhone,ForYou,0,8ca861cf7f05cbe73b67d616feda2b0f,72023,0.100298,0.001339,133.741,0.1002982225490414,0.01457131,0.012185158
TikTok,Es,Europe,es,Comedy,#Comedy,If College was honest,Omar,trending,Goofy bass,6,51,556830,23580,2384,1793,5696,0.060078,rising,TikTok Creative Center,b-roll heavy,Android,21,Comedy,25,Evergreen,22273.2,229,0.004281,0.00322,0.010229,102.521739,Wednesday,Evening,Regular,"sketch, relatable, funny, comedy",No puedo parar de mirar ðŸ˜‚,109654.6,Mid,Spring,2/5/2025,2025-02,If Beginners was honest âš½,25,1,36.7,0.72,Samsung,ForYou,0,5ce8ca9204ff2edbdb2b18d4be89e890,33453,0.042347,0.000411,60.078,0.042346856,0.004281379,0.003220013
YouTube,Us,North America,en,Science,#Motivation,Weekly Reset â€” College,TravelByHassan,trending,Microscope hum,6,37,748430,40522,4340,2984,2518,0.067293,stable,TikTok Creative Center,facecam,Android,2,Education,48,Evergreen,15592.29,4357,0.005799,0.003987,0.003364,9.298302,Saturday,Night,Regular,"notes, study, learn",Canâ€™t stop watching ðŸ˜‚,109892.4,Mid,Winter,2/8/2025,2025-02,Exam Day Routine,16,0,24.7,0.668,iPhone,Search,1,73e15c721b33fe019828feced72c0665,50364,0.054143,0.005822,67.293,0.054142672,0.005798805,0.003987013
YouTube,Ph,Asia,tl,Travel,#FYP,GRWM â€” Summer Look,FatmaVlogs,licensed,City stroll,6,69,542398,24797,2593,2653,4834,0.064301,stable,TikTok Creative Center,subtitles,iOS,21,Beauty,20,Medium,27119.9,3323,0.004781,0.004891,0.008912,7.459988,Thursday,Evening,SummerBreak,"tips, makeup, grwm, beauty",This is fire ðŸ”¥,127439.6,Mid,Summer,2/6/2025,2025-02,Makeup Basics You Need,22,0,42.3,0.613,Samsung,Suggested,0,cb3da2f2d81693439d48f609c66bd492,34877,0.045717,0.006126,64.301,0.045717351,0.004780622,0.004891242
TikTok,Ru,Europe,ru,Fitness,#Wanderlust,Street Food Tour in Seoul,GamingWithNoah,original,Hype trap,6,16,504445,42878,6108,4170,2797,0.11092,rising,TikTok Creative Center,meme template,iOS,16,Travel,11,Medium,45858.64,635,0.012108,0.008267,0.005545,67.418239,Sunday,Afternoon,Regular,"travel, hidden gems, vlog",Thanks for this!,129907.2,Mid,Winter,2/9/2025,2025-02,Hidden Gems of Istanbul,23,0,12.8,0.8,Oppo,ForYou,1,71b8dc8575a56668314f711d39bbf711,55953,0.085,0.001259,110.92,0.085000347,0.012108357,0.008266511
TikTok,Ae,Asia,ar,DIY,#Beauty,GRWM â€” Budget Look,JiwooOfficial,trending,Tape measure click,6,17,568676,56913,6545,5350,3621,0.127364,rising,Open Web Samples,greenscreen,Android,16,Beauty,15,Medium,37911.73,1265,0.011509,0.009408,0.006367,44.954976,Saturday,Afternoon,SummerBreak,"grwm, tips, makeup, beauty",Ø¬Ø§Ù…Ø¯ Ø¬Ø¯Ù‹Ø§ ðŸ”¥,92619,Mid,Summer,2/8/2025,2025-02,Skincare Routine for Office ðŸ§ ,29,1,9.2,0.541,Samsung,Search,1,6628e313900c09d4b93e4565c71bd1ea,72429,0.10008,0.002224,127.364,0.1000798345630904,0.01150919,0.009407817
TikTok,De,Europe,de,Beauty,#FYP,Morning Routine â€” Productivity,DailyVlogsNoor,licensed,Ambient glow,6,31,519608,41948,5711,4277,2733,0.105212,seasonal,TikTok Creative Center,b-roll heavy,Android,16,Pets,14,Medium,37114.86,1423,0.010991,0.008231,0.00526,29.457865,Wednesday,Afternoon,Regular,"pets, cute, dogs, cats",This is fire ðŸ”¥,109492.6,Mid,Spring,2/5/2025,2025-02,Dog fails you canâ€™t miss,24,0,21.2,0.684,Samsung,ForYou,0,f1e8874be95a452fb40ed37e38f9f883,54669,0.08073,0.002739,105.212,0.080730089,0.010990978,0.008231205
TikTok,Sa,Asia,ar,Automotive,#CatTok,Night Routine â€” Beginners,Jiwoo,licensed,Engine rev,6,29,541236,42377,3491,4167,5757,0.103083,stable,Public Reports,storytime,Android,19,Pets,17,Medium,31837.41,680,0.00645,0.007699,0.010637,62.227606,Friday,Evening,Regular,"cute, cats, pets, dogs",Ø´Ø±Ø­ Ù…Ù…ØªØ§Ø² ðŸ‘,94123.3,Mid,Winter,2/7/2025,2025-02,Dog fails you canâ€™t miss,24,0,20.1,0.693,Samsung,ForYou,1,031daf690c9721ef401058f68729a36c,55792,0.078297,0.001256,103.083,0.078296713,0.006450051,0.007699044
YouTube,Cn,Asia,zh,Beauty,#AI,AI Tools You Must Try in 2025,DiegoVlogs,licensed,Ambient glow,6,22,611098,18155,2184,1574,1153,0.037745,declining,TikTok Creative Center,tutorial overlay,iOS,23,Tech,3,Short,203699.33,2529,0.003574,0.002576,0.001887,7.175889,Friday,Night,SummerBreak,"tools, apps, tutorial, tech",Thanks for this!,100207.3,Mid,Summer,2/7/2025,2025-02,AI Tools You Must Try in 2025,29,0,12.4,0.564,iPhone,Search,1,2f7edc75f2f6fa8c7ddcd8c838feafca,23066,0.029709,0.004138,37.745,0.029708819,0.003573895,0.002575692
TikTok,Ph,Asia,tl,Food,#GRWM,GRWM: Beginners Edition,MissSara,trending,Kitchen groove,6,14,723922,55257,5864,5700,3517,0.097162,seasonal,TikTok Creative Center,storytime,Android,19,Fashion,5,Short,144784.4,603,0.0081,0.007874,0.004858,91.485099,Sunday,Evening,Regular,"fashion, style, ootd",Instant like!,116060.5,Mid,Fall,2/9/2025,2025-02,GRWM: Evening Edition ðŸ–ï¸,24,1,10.3,0.736,Samsung,Following,1,e3d14b45ee206050c61a278696ca447f,70338,0.07633,0.000833,97.162,0.076330047,0.00810032,0.007873776
TikTok,In,Asia,hi,News,#Comedy,POV: Beginners,MrYuki,trending,Neutral piano,6,33,642915,62152,6624,6992,3987,0.124052,seasonal,Public Reports,hook in 2s,iOS,19,Comedy,15,Medium,42861,517,0.010303,0.010875,0.006201,119.984556,Sunday,Evening,SummerBreak,"comedy, relatable, funny",Canâ€™t stop watching ðŸ˜‚,109040.9,Mid,Summer,2/9/2025,2025-02,If Productivity was honest,26,0,19.9,0.603,Vivo,External,1,92e1547bd2441c6cda22d921b6fd3509,79755,0.096672,0.000804,124.052,0.096672188,0.010303073,0.010875466
TikTok,De,Europe,de,Art,#FYP,My Favorite Productivity Apps,MasterSofia,trending,Indie brush,6,53,1313547,89478,9952,9435,5729,0.08724,stable,TikTok Creative Center,split-screen,iOS,8,Tech,7,Short,187649.57,2064,0.007576,0.007183,0.004361,43.330751,Wednesday,Morning,Regular,"tutorial, apps, ai, tech",This is fire ðŸ”¥,139823.9,Mid,Spring,2/5/2025,2025-02,AI Tools You Must Try in 2025 âš½,31,1,32.7,0.617,Samsung,ForYou,0,868b5bac735ac213cd49f4d0a0039c1c,114594,0.068119,0.001571,87.24,0.068119374,0.007576432,0.007182842
YouTube,Ng,Africa,en,Fashion,#Cover,Underrated artists you need to hear,LeilaShorts,original,Pop groove,6,14,509273,34400,2725,3423,2417,0.084365,seasonal,TikTok Creative Center,storytime,iOS,17,Music,11,Medium,46297.55,1431,0.005351,0.006721,0.004746,24.022346,Friday,Evening,SummerBreak,"music, cover, song, beat",Instant like!,91135.1,Mid,Summer,2/7/2025,2025-02,Underrated artists to hear,26,0,8.1,0.579,iPhone,External,1,7efafca6ed64e3ea9f2a95f745f3e265,42965,0.067547,0.00281,84.365,0.067547268,0.005350765,0.006721346
YouTube,Kr,Asia,ko,Travel,#Travel,Street Food Tour in Paris,AvaVlogs,original,Backpack beat,6,24,547965,22618,3138,2068,1877,0.054202,seasonal,TikTok Creative Center,storytime,iOS,16,Travel,55,Evergreen,9963,3208,0.005727,0.003774,0.003425,7.048302,Saturday,Afternoon,Regular,"guide, hidden gems, vlog",This is fire ðŸ”¥,103877.5,Mid,Winter,2/8/2025,2025-02,24 Hours in London,18,0,17.2,0.717,iPhone,Home,1,a9a1802a5281d795cf9270114ddd5cf3,29701,0.041276,0.005854,54.202,0.041276359,0.005726643,0.003773964
YouTube,Mx,North America,es,Education,#DanceChallenge,Weekly Reset â€” Beginners,GamingWithNoor,trending,Soft focus,6,50,929765,41125,2781,2972,6993,0.05794,stable,TikTok Creative Center,tutorial overlay,Android,22,Dance,26,Evergreen,35760.19,5603,0.002991,0.003197,0.007521,7.338508,Thursday,Evening,Regular,"trend, challenge, dance",No puedo parar de mirar ðŸ˜‚,136562.4,Mid,Fall,2/6/2025,2025-02,New Dance Challenge!,20,0,21.4,0.428,Samsung,Home,0,a363b058de724c795d4d40d233609db0,53871,0.044232,0.006026,57.94,0.044231607,0.002991078,0.003196507
TikTok,Kr,Asia,ko,Fitness,#AI,AI Tools You Must Try in 2025,MrAhmed,original,HIIT drums,6,28,1058922,88466,13437,7657,5766,0.108909,seasonal,Public Reports,storytime,iOS,18,Tech,3,Short,352974,4163,0.012689,0.007231,0.005445,21.245437,Friday,Evening,Regular,"tools, ai, tech, tutorial, apps",Canâ€™t stop watching ðŸ˜‚,99258.8,Mid,Fall,2/7/2025,2025-02,Build This in 10 Minutes,24,0,21.6,0.771,Oppo,Search,1,3369afb3877f34718bc287a7d2080d7f,115326,0.083543,0.003931,108.909,0.083543453,0.01268932,0.007230939
YouTube,It,Europe,it,Tech,#Comedy,When your friend is Summer,StreetStudio,trending,Circuit synth,6,50,579917,19461,1631,1741,4593,0.047293,rising,TikTok Creative Center,text-to-speech,iOS,22,Comedy,7,Short,82845.29,2692,0.002812,0.003002,0.00792,7.226513,Monday,Evening,Regular,"comedy, relatable, funny, sketch",This is fire ðŸ”¥,88159.6,Mid,Winter,2/3/2025,2025-02,When your friend is 2025 ðŸŽ®,26,1,20.9,0.418,Xiaomi,Home,0,564397216066f485eeca68394e68cd7f,27426,0.033558,0.004642,47.293,0.033558251,0.002812471,0.003002154
YouTube,In,Asia,hi,Tech,#HiddenGems,Street Food Tour in London,EmilyOfficial,licensed,Futurist pad,6,41,653345,15077,2539,1508,2086,0.032464,rising,TikTok Creative Center,storytime,iOS,12,Travel,16,Medium,40834.06,1935,0.003886,0.002308,0.003193,7.787707,Friday,Afternoon,SummerBreak,"hidden gems, travel, vlog, food tour",Thanks for this!,104979.8,Mid,Summer,2/7/2025,2025-02,Hidden Gems of New York,23,0,21.3,0.52,Xiaomi,Home,1,071cd1ff862ad432894fd50e11ae4c53,21210,0.023077,0.002962,32.464,0.023076629,0.003886155,0.002308122
YouTube,De,Europe,de,Fitness,#Makeup,Makeup basics you need,Noor,trending,HIIT drums,6,29,638652,32040,3342,4183,2544,0.065934,seasonal,Open Web Samples,greenscreen,Android,22,Beauty,12,Medium,53221,4580,0.005233,0.00655,0.003983,6.994106,Sunday,Evening,SummerBreak,"grwm, beauty, skincare, makeup, tips",So underrated!,115352,Mid,Summer,2/9/2025,2025-02,Makeup Basics You Need,22,0,21.2,0.731,iPhone,Home,1,4fe6315b26436c2fde3251b3886e39c0,42109,0.050168,0.007171,65.934,0.050168167,0.005232897,0.006549733
YouTube,Ae,Asia,ar,Education,#Relatable,When your friend is 2025,CookingWithFatma,trending,Calm piano,6,47,503058,14566,1491,918,893,0.035519,stable,TikTok Creative Center,emoji overlays,Android,12,Comedy,3,Short,167686,1006,0.002964,0.001825,0.001775,14.464747,Monday,Afternoon,BackToSchool,"funny, comedy, sketch",Ø¬Ø§Ù…Ø¯ Ø¬Ø¯Ù‹Ø§ ðŸ”¥,132877.7,Mid,Fall,2/3/2025,2025-02,POV: Beginners,14,0,21.2,0.451,Samsung,Home,0,285bc6614d7c3d6c759758e7a778d288,17868,0.028955,0.002,35.519,0.028954912,0.002963873,0.001824839
YouTube,Ng,Africa,en,Art,#FYP,Makeup basics you need,TrueLabs,trending,Gallery pad,6,13,596637,10818,1280,1127,696,0.023332,seasonal,Open Web Samples,text-to-speech,Android,22,Beauty,5,Short,119327.4,1156,0.002145,0.001889,0.001167,9.350043,Saturday,Evening,HolidaySeason,"skincare, makeup, beauty, grwm",Instant like!,98396.5,Mid,Winter,2/8/2025,2025-02,Skincare Routine for Summer,27,0,6.8,0.523,Vivo,External,1,b4239344ef4e1fa3bb9a95af581f1c02,13921,0.018132,0.001938,23.332,0.018131628,0.002145358,0.001888921
YouTube,Sa,Asia,ar,Beauty,#Music,I flipped this sample,CookingWithEmily,original,Soft glam loop,7,90,628695,17743,1919,1582,1118,0.035569,rising,TikTok Creative Center,emoji overlays,iOS,20,Music,10,Medium,62869.5,2454,0.003052,0.002516,0.001778,7.227291,Saturday,Evening,SummerBreak,"music, cover, song, beat",Ø¬Ø§Ù…Ø¯ Ø¬Ø¯Ù‹Ø§ ðŸ”¥,105698,Mid,Summer,2/15/2025,2025-02,Stay â€” Cover,12,0,41.8,0.464,Samsung,Home,1,8dc30791eb5d0257077c3cc8321655a3,22362,0.028222,0.003903,35.569,0.028221952,0.003052354,0.002516323
TikTok,De,Europe,de,DIY,#Music,I flipped this sample,DailyVlogsDiego,original,Tape measure click,7,20,581863,37666,3502,4354,7469,0.091071,stable,TikTok Creative Center,storytime,Android,15,Music,9,Medium,64651.44,1482,0.006019,0.007483,0.012836,25.398517,Wednesday,Afternoon,Regular,"beat, song, music",Thanks for this!,104638.4,Mid,Winter,2/12/2025,2025-02,I flipped this sample,21,0,13.8,0.69,Xiaomi,ForYou,0,40d860f5eb0119578aaf81d63d7b4479,52991,0.064733,0.002547,91.071,0.064733451,0.006018599,0.007482861
TikTok,De,Europe,de,Tech,#Pets,Night Routine â€” Summer,MissFatma,trending,Futurist pad,7,11,503288,27278,4058,2423,1776,0.070606,stable,Open Web Samples,facecam,Android,21,Pets,9,Medium,55920.89,983,0.008063,0.004814,0.003529,27.721545,Monday,Evening,SummerBreak,"pets, cute, dogs, cats",This is fire ðŸ”¥,110714.4,Mid,Summer,2/10/2025,2025-02,Cutest moments today ðŸŽ¯,22,1,6.9,0.627,Xiaomi,Search,0,c7a36940c90ce72e3b45b86d4ec47aa0,35535,0.0542,0.001953,70.606,0.054199584,0.008062978,0.004814341
YouTube,Tr,Europe,tr,Gaming,#Music,I flipped this sample,DailyVlogsSara,trending,Trap beat,7,50,1260284,36940,3367,3657,5025,0.038871,seasonal,TikTok Creative Center,cinematic b-roll,Android,22,Music,3,Short,420094.67,4298,0.002672,0.002902,0.003987,8.592696,Saturday,Evening,Regular,"song, beat, cover, music",Thanks for this!,130373.9,Mid,Fall,2/15/2025,2025-02,I flipped this sample,21,0,33.8,0.676,iPhone,Home,1,5217786fed80e2e3bcfa823ef5940bff,48989,0.029311,0.00341,38.871,0.029310854,0.00267162,0.002901727
YouTube,Mx,North America,es,News,#Makeup,GRWM â€” Summer Look,OfficialOlivia,licensed,Neutral piano,7,21,504891,19500,1678,2355,3874,0.054283,rising,TikTok Creative Center,hook in 2s,Android,9,Beauty,9,Medium,56099,2474,0.003323,0.004664,0.007673,7.878788,Friday,Morning,Regular,"makeup, beauty, skincare, grwm",Â¡IncreÃ­ble!,71037.7,Mid,Winter,2/14/2025,2025-02,Makeup Basics You Need,22,0,11,0.524,iPhone,External,1,643578106d214582e970288a4fbb6a90,27407,0.038622,0.0049,54.283,0.038622198,0.00332349,0.004664373
YouTube,It,Europe,it,News,#StudyWithMe,Night Routine â€” 2025,NextHub,trending,Ambient pulse,7,90,991019,55121,5281,6130,3501,0.070668,seasonal,TikTok Creative Center,facecam,Android,21,Education,4,Short,247754.75,2651,0.005329,0.006186,0.003533,20.784691,Friday,Evening,Regular,"tips, notes, productivity, learn",This is fire ðŸ”¥,102133.2,Mid,Winter,2/14/2025,2025-02,How I Take Notes for Budget,27,0,46.2,0.513,Oppo,Home,1,4bbdae95e9854758ad515809deaf90b5,70033,0.055621,0.002675,70.668,0.055620528,0.005328858,0.006185552
TikTok,In,Asia,hi,Comedy,#FYP,Skincare routine for Summer,Yuki,licensed,Clap beat,7,7,822369,75738,8806,10561,12176,0.130454,rising,Public Reports,hook in 2s,Android,17,Beauty,7,Short,117481.29,1970,0.010708,0.012842,0.014806,38.42618,Wednesday,Evening,SummerBreak,"tips, skincare, beauty, grwm",Instant like!,117301.2,Mid,Summer,2/12/2025,2025-02,Skincare Routine for Bold ðŸ˜‚,27,1,4.3,0.614,Vivo,ForYou,0,2110962e397535ccd1379c106275a052,107281,0.092097,0.002396,130.454,0.092097343,0.010708088,0.012842167
TikTok,Id,Asia,id,Travel,#Sports,Weekly Reset â€” College,DrAva,original,City stroll,7,26,845142,33031,4402,4128,4928,0.055007,declining,TikTok Creative Center,split-screen,Android,15,Sports,4,Short,211285.5,1581,0.005209,0.004884,0.005831,20.879267,Friday,Afternoon,Regular,"workout, sports, gym",So underrated!,124662.1,Mid,Winter,2/14/2025,2025-02,Football skills in 60s âœ¨,24,1,21.6,0.831,iPhone,ForYou,1,6f79980333501ac7d121fd506fa8456d,46489,0.039083,0.001871,55.007,0.039083373,0.005208592,0.004884386
YouTube,Ma,Africa,ar,Automotive,#StreetFood,Is Sushi worth the hype?,VividLabs,original,Engine rev,7,48,1116661,36641,5474,2813,4756,0.044493,declining,TikTok Creative Center,subtitles,iOS,18,Food,8,Medium,139582.62,954,0.004902,0.002519,0.004259,38.367539,Friday,Evening,SummerBreak,"fast, recipe, kitchen",Ø¬Ø§Ù…Ø¯ Ø¬Ø¯Ù‹Ø§ ðŸ”¥,104933.1,Mid,Summer,2/14/2025,2025-02,Street Koshari Taste Test ðŸŽ®,27,1,20.4,0.425,Huawei,Suggested,1,489ba45ddc945893ec2da7b79d4b0be3,49684,0.032813,0.000854,44.493,0.032813002,0.004902114,0.002519117
TikTok,Ma,Africa,ar,Pets,#Wanderlust,24 Hours in Paris,NextLabs,trending,Bark hop,7,48,1058542,78716,10803,9227,5197,0.098194,rising,Public Reports,subtitles,Android,17,Travel,59,Evergreen,17941.39,1281,0.010206,0.008717,0.00491,61.400936,Monday,Evening,Regular,"food tour, vlog, guide, hidden gems, travel",Ø´Ø±Ø­ Ù…Ù…ØªØ§Ø² ðŸ‘,104175.6,Mid,Spring,2/10/2025,2025-02,Street Food Tour â€” London ðŸ’ª,27,1,25.4,0.529,Oppo,Search,0,ec438f70744edd5b309552455bc62c3b,103943,0.074363,0.00121,98.194,0.074362661,0.010205547,0.008716707
TikTok,Ar,South America,es,DIY,#FYP,Weekly Reset â€” Summer,NextVision,trending,Tape measure click,7,19,575908,29767,4211,2857,1938,0.067325,stable,Public Reports,greenscreen,iOS,6,Sports,42,Evergreen,13712.1,1234,0.007312,0.004961,0.003365,24.102834,Friday,Morning,Regular,"gym, sports, workout",No puedo parar de mirar ðŸ˜‚,96474.3,Mid,Spring,2/14/2025,2025-02,Workout you canâ€™t skip ðŸ˜‚,24,1,14,0.737,iPhone,Following,1,e20b01fe3ef340f7bd3f716e7b61a3d6,38773,0.051687,0.002143,67.325,0.051687075,0.007311932,0.004960862
TikTok,Ae,Asia,ar,Art,#Dance,Weekly Reset â€” Summer,DrLeila,trending,Gallery pad,7,18,611908,55634,6395,6896,3627,0.118567,stable,TikTok Creative Center,facecam,Android,16,Dance,6,Short,101984.67,2567,0.010451,0.01127,0.005927,21.66433,Sunday,Afternoon,Ramadan,"music, dance, challenge, trend",ØªØ­ÙØ© Ø¨ØµØ±Ø§Ø­Ø©!,127922.9,Mid,Spring,2/16/2025,2025-02,Try this move ðŸ‘‰,15,0,14,0.778,Huawei,Following,1,dcb1537ffa49ad181164926896a3d2c2,72552,0.090919,0.004195,118.567,0.090918896,0.010450917,0.011269668
YouTube,In,Asia,hi,Finance,#Lifestyle,Weekly Reset â€” College,StreetLabs,original,Clean corporate bed,7,28,643075,18460,1474,1843,4117,0.040266,seasonal,TikTok Creative Center,facecam,iOS,20,Lifestyle,12,Medium,53589.58,1908,0.002292,0.002866,0.006402,9.669984,Sunday,Evening,SummerBreak,"lifestyle, motivation, routine",This is fire ðŸ”¥,106295.8,Mid,Summer,2/16/2025,2025-02,Night Routine â€” Beginners ðŸ”¥,27,1,12.7,0.454,iPhone,Home,1,219023e7f23eca17e0caf535f1da0c73,25894,0.028706,0.002967,40.266,0.028705827,0.002292112,0.002865918
